text,label,pred_label,prob_negative,prob_positive,confidence,error_bucket
"I caught this movie a few years ago one night, and it was one of the funniest movies I have ever seen. However, since it is supposed to be an action movie, I cannot give it more stars since the humor was unintentional.<br /><br />Chuck Norris plays a truck driver who comes home from the road to see his family, and within the first five minutes the conflict arises which leads Chuck to seek vengeance for the rest of the film. Good thing too, 'cuz the sub-par acting by everyone involved was starting to get old very fast. Actually, the judge was pretty good, but I can't really describe what makes him work, you'll have to check it out for yourself.<br /><br />And the custom van Chuck Norris drives is hideously classic!",negative,positive,0.16628088057041168,0.8337190747261047,0.8337190747261047,negation
"I have been an avid Jane Austen fan for many years. I had never seen this adaptation, so when I had heard of it, I came here and read all the excellent reviews. On that basis I eagerly ordered it from Netflix. What a cruel disappointment! They have taken one of the most subtle and bright comic novels and made it dull. Each character seems to have been dealt a single facial expression, a single tone upon which to base their flat characters. Although this adaptation seems to have used every word that Jane Austen wrote, they appear to have been passed around to characters in a random fashion. Even though it was done as a miniseries, this adaptation manages to confuse and feel as rushed as if it had been done as a movie of the week.<br /><br />Mr. Bennett too harsh, Mrs. Bennet just a chattering chipmunk, Mr. Darcy as lifeless as a nutcracker, the Bennett girls almost indistinguishable and Mr. Wickham a man who no one would look twice at - hardly the appealing cad! I'm quite put out!",negative,positive,0.16881169378757477,0.8311882615089417,0.8311882615089417,negation
"Well,this movie is really ""PLUMPED"" HAHA Get it? Thats kinda like the attitude of this movie. The plot is just a copy of Pulp Fiction,okay thats acceptable,but to make this piece if ""PLUMP"" (haha)! is really unbelievable.The storyline is so pathetic,and the whole thing only gathered a few laughs. It did try making a few jokes from various other movies,and it failed most of the times. I mean,i do have a sense of humor,but this isnt really the way to go to get a laugh. Most of the supposedly ""Funny"" moments are completely ironic. The film is quiet short running at around 75 minutes overall. They could have done a much funnier job,seeming they made fun of a blockbuster film,they were gambling,and hey! I think they lost!<br /><br />In overall PLUMP Fiction,is ""PLUMPABLE"" but you wont gather much at all!<br /><br />Worth watching over and over again?: No once is enough,actually its more than enough!<br /><br />So is it worth the rent? Ummm..As I said,Its ""PLUMPABLE"",but you will only gather a few ""PLUMPS"" from it!<br /><br />Overall out of 10: a 4 out of 10!",negative,positive,0.16991682350635529,0.8300831913948059,0.8300831913948059,mixed_sentiment
"IF you love movies about fruity dudes who prance around with a top hats and canes while spouting off random line of poetry while stabbing their victims then this is the movie for you!!<br /><br />If you like movies where it looks like the whole thing was shot with a camcorder, and when people get disemboweled their internal organs are made out of baked ziti an marinara sauce this movie is even more for you!! <br /><br />And if you simply love movies where the acting and dialogue sucks so much that it makes you feel dead inside, then for God's sake run to the video store right now and buy this movie right now!!! Hurry go before it sells out!",negative,positive,0.17039449512958527,0.8296054601669312,0.8296054601669312,long_review
"Why can't there be better TV movies made I was at a loose end today and watched this film on a satellite channel in the UK. What a terrible waste of my time it was . Poor sets, Poor acting & Oh my god what a terrible flood . Blimey that woman can even outrun a torrent of water too!.<br /><br />I really wish that people would make TV movies using better effects, better or at least more believable plots & far better acting. Killer Flood is well up there with poor acting. A few bits of ham couldn't act any worse.<br /><br />1 final thing I really agree with the comment about the dog, but I believe it would of already scarpered in real life!",negative,positive,0.17109154164791107,0.8289084434509277,0.8289084434509277,negation
"This movie was pure genius. John Waters is brilliant. It is hilarious and I am not sick of it even after seeing it about 20 times since I bought it a few months ago. The acting is great, although Ricki Lake could have been better. And Johnny Depp is magnificent. He is such a beautiful man and a very talented actor. And seeing most of Johnny's movies, this is probably my favorite. I give it 9.5/10. Rent it today!",negative,positive,0.1722472608089447,0.8277527689933777,0.8277527689933777,negation
Although the movie was only so so the closed captioning was by far the best I have ever seen! Most of the time the spelling is terrible and the captioning out of sync. I use the closed captioning even though I can hear well but find a lot of actors mumble. Also many times the sound track overrides the dialogue. Thanks!,negative,positive,0.17238278687000275,0.8276172280311584,0.8276172280311584,mixed_sentiment
"Now, I LOVE Italian horror films. The cheesier they are, the better. However, this is not cheesy Italian. This is week-old spaghetti sauce with rotting meatballs. It is amateur hour on every level. There is no suspense, no horror, with just a few drops of blood scattered around to remind you that you are in fact watching a horror film. The ""special effects"" consist of the lights changing to red whenever the ghost (or whatever it was supposed to be) is around, and a string pulling bed sheets up and down. Oooh, can you feel the chills? The DVD quality is that of a VHS transfer (which actually helps the film more than hurts it). The dubbing is below even the lowest ""bad Italian movie"" standards and I gave it one star just because the dialogue is so hilarious! And what do we discover when she finally DOES look in the attic (in a scene that is daytime one minute and night the next)...well, I won't spoil it for anyone who really wants to see, but let's just say that it isn't very ""novel""!",negative,positive,0.17366820573806763,0.8263317942619324,0.8263317942619324,negation
"I suppose for 1961 this film was supposed to be "" cool "" , but looking back now ( 45 years ) it's charm was just as silly as it's entertainment value ! Granted , the special effects do well on T.V. with the Series that started in 1964 , but for the BIG screen ?? I once had a fish tank that was equally as exciting ! I must agree about the Octopus scene near the end where it attached itself to the Seaview. Obviously not well staged...or trained ! Overall , it's pretty bad acting with shoddy special effects and I still do recommend it - for fun laughs sake. This was probably one of Irwin Allen's Biggest films and I think he thought a lot of it . Barabara Eden went on to play "" Genie "" on T.V. Micheal Ansara was her Husband . Now that is a cool part about this film ! I always enjoyed seeing real life Husband and Wife teams star in the same movie . Neat !",negative,positive,0.17411677539348602,0.8258832097053528,0.8258832097053528,negation
"In the 3rd installment of ""Left Behind"" the makers did not care to put ANY KIND OF CONTINUITY into the plot. Although all weapons on the planet have been confiscated by the United Nations, World War III suddenly begins at the snap of a finger. Within a few split-seconds the ex-lover of one of the main protagonists moves from passionately seducing him to outright hatred to a melancholy confession of love without any trace of direction. <br /><br />But foremost this film is really an irony-free zone. After the president of the United States accepts Jesus as his savior he immediately becomes a suicide bomber and blows up a skyscraper in the middle of the city. Osama Bin Laden will be very jealous when he sees this film!",negative,positive,0.17468193173408508,0.8253180980682373,0.8253180980682373,negation
